"id","item","code","name","segment","ncms"
"cest_0202300","23","02.023.00","Sangrias e coquetéis","02","2205,22060090,22089000"
"cest_0202400","24","02.024.00","Vinhos de uvas frescas, incluindo os vinhos enriquecidos com álcool; mostos de uvas.","02","2204"
"cest_0299900","999","02.999.00","Outras bebidas alcoólicas não especificadas nos itens anteriores","02","2205,2206,2207,2208"
"cest_0300100","1","03.001.00","REVOGADO","03","22011000"
"cest_0300200","2","03.002.00","REVOGADO","03","22011000"
"cest_0300300","3","03.003.00","Água mineral, gasosa ou não, ou potável, naturais, em embalagem de vidro descartável","03","22011000,22019000"
"cest_0300301","3.1","03.003.01","Água mineral, gasosa ou não, ou potável, naturais, adicionadas de sais, em embalagem de vidro descartável","03","22011000,22019000"
"cest_0300400","4","03.004.00","REVOGADO","03","22011000"
"cest_0300500","5","03.005.00","Água mineral, gasosa ou não, ou potável, naturais, em copo plástico descartável","03","22011000,22019000"
"cest_0300501","5.1","03.005.01","Água mineral, gasosa ou não, ou potável, naturais, adicionadas de sais, em copo plástico descartável","03","22011000,22019000"
"cest_0300502","5.2","03.005.02","Água mineral, gasosa ou não, ou potável, naturais, em jarra descartável","03","22011000,22019000"
"cest_0300503","5.3","03.005.03","Água mineral, gasosa ou não, ou potável, naturais, adicionadas de sais, em jarra descartável","03","22011000,22019000"
"cest_0300504","5.4","03.005.04","Água mineral, gasosa ou não, ou potável, naturais, em demais embalagens descartáveis","03","22011000,22019000"
"cest_0300505","5.5","03.005.05","Água mineral, gasosa ou não, ou potável, naturais, adicionadas de sais, em demais embalagens descartáveis","03","22011000,22019000"
"cest_0300600","6","03.006.00","Outras águas minerais, gasosa ou não, ou potável, naturais; exceto as classificadas no CEST 03.003.00, 03.003.01, 03.005.00, 03.005.01 a 03.005.05, 03.024.00 e 03.025.00","03","2201"
"cest_0300700","7","03.007.00","Água aromatizada artificialmente, exceto os refrescos e refrigerantes","03","22021000"
"cest_0300800","8","03.008.00","Outras águas minerais, gasosa ou não, ou potável, naturais, inclusive gaseificadas ou aromatizadas artificialmente, exceto os refrescos e refrigerantes","03","22029900"
"cest_0301000","10","03.010.00","Refrigerante em vidro descartável","03","22021000,22029900"
"cest_0301001","10.1","03.010.01","Refrigerante em embalagem pet","03","22021000,22029900"
"cest_0301002","10.2","03.010.02","Refrigerante em lata","03","22021000,22029900"
"cest_0301003","10.3","03.010.03","REVOGADO","03","22021000,22029900"
