"id","name","description","tax_base_type","table_date","percent_amount","cst_out_id:id","cst_in_id:id","tax_group_id:id"
"tax_cofins_monofasico_23_44","COFINS Monofásico 23,44%","Produto deve constar na tabela 4.3.10 do SPED ","percent","2025-07-02","23.44","cst_pis_cofins_02","cst_pis_cofins_70","tax_group_cofins"
"tax_cofins_monofasico_24_15","COFINS Monofásico 24,15%","Produto deve constar na tabela 4.3.10 do SPED ","percent","2025-07-02","24.15","cst_pis_cofins_02","cst_pis_cofins_70","tax_group_cofins"
"tax_cofins_monofasico_28_32","COFINS Monofásico 28,32%","Produto deve constar na tabela 4.3.10 do SPED ","percent","2025-07-02","28.32","cst_pis_cofins_02","cst_pis_cofins_70","tax_group_cofins"
"tax_cofins_monofasico_47_40","COFINS Monofásico 47,40%","Produto deve constar na tabela 4.3.10 do SPED ","percent","2025-07-02","47.4","cst_pis_cofins_02","cst_pis_cofins_70","tax_group_cofins"
"tax_cofins_monofasico_5_91","COFINS Monofásico 5,91%","Produto deve constar na tabela 4.3.10 do SPED ","percent","2025-07-02","5.91","cst_pis_cofins_02","cst_pis_cofins_70","tax_group_cofins"
"tax_cofins_monofasico_6_83","COFINS Monofásico 6,83%","Produto deve constar na tabela 4.3.10 do SPED ","percent","2025-07-02","6.83","cst_pis_cofins_02","cst_pis_cofins_70","tax_group_cofins"
"tax_cofins_monofasico_7_00","COFINS Monofásico 7,00%","Produto deve constar na tabela 4.3.10 do SPED ","percent","2025-07-02","7","cst_pis_cofins_02","cst_pis_cofins_70","tax_group_cofins"
"tax_cofins_monofasico_7_60","COFINS Monofásico 7,60%","Produto deve constar na tabela 4.3.10 do SPED ","percent","2025-07-02","7.6","cst_pis_cofins_02","cst_pis_cofins_70","tax_group_cofins"
"tax_cofins_monofasico_7_69","COFINS Monofásico 7,69%","Produto deve constar na tabela 4.3.10 do SPED ","percent","2025-07-02","7.69","cst_pis_cofins_02","cst_pis_cofins_70","tax_group_cofins"
"tax_cofins_monofasico_8_54","COFINS Monofásico 8,54%","Produto deve constar na tabela 4.3.10 do SPED ","percent","2025-07-02","8.54","cst_pis_cofins_02","cst_pis_cofins_70","tax_group_cofins"
"tax_cofins_monofasico_9_50","COFINS Monofásico 9,50%","Produto deve constar na tabela 4.3.10 do SPED ","percent","2025-07-02","9.5","cst_pis_cofins_02","cst_pis_cofins_70","tax_group_cofins"
"tax_cofins_monofasico_9_60","COFINS Monofásico 9,60%","Produto deve constar na tabela 4.3.10 do SPED ","percent","2025-07-02","9.6","cst_pis_cofins_02","cst_pis_cofins_70","tax_group_cofins"
"tax_cofins_monofasico_9_61","COFINS Monofásico 9,61%","Produto deve constar na tabela 4.3.10 do SPED ","percent","2025-07-02","9.61","cst_pis_cofins_02","cst_pis_cofins_70","tax_group_cofins"
"tax_cofins_monofasico_9_90","COFINS Monofásico 9,90%","Produto deve constar na tabela 4.3.10 do SPED ","percent","2025-07-02","9.9","cst_pis_cofins_02","cst_pis_cofins_70","tax_group_cofins"
"tax_cofins_outros","COFINS Outros","","percent","","0","cst_pis_cofins_49","cst_pis_cofins_98","tax_group_cofins"
"tax_cofins_outras_operacoes","COFINS Outras Operações","","percent","","0","cst_pis_cofins_99","cst_pis_cofins_99","tax_group_cofins"
"tax_cofins_seminc","COFINS Sem Incidência","Produto deve constar na tabela 4.3.15 do SPED ","percent","","0","cst_pis_cofins_08","cst_pis_cofins_74","tax_group_cofins"
"tax_cofins_st_3","COFINS ST 3,00%","","percent","2014-11-17","3","cst_pis_cofins_05","cst_pis_cofins_75","tax_group_cofinsst"
"tax_cofins_st_qty","COFINS ST por Unidade de Medida","","quantity","","0","cst_pis_cofins_05","cst_pis_cofins_75","tax_group_cofinsst"
"tax_cofins_susp","COFINS Com Suspensão","Produto deve constar na tabela 4.3.16 do SPED ","percent","2023-03-03","0","cst_pis_cofins_09","cst_pis_cofins_72","tax_group_cofins"
"tax_cofins_value_monofasico_qty","COFINS Monofásico por Unidade de Medida","","quantity","","0","cst_pis_cofins_03","cst_pis_cofins_70","tax_group_cofins"
"tax_cofins_wh_0","COFINS RET 0%","Cofins retido na contratação de serviços","percent","","0","","","tax_group_cofins_wh"
"tax_cofins_wh_3","COFINS RET 3%","Cofins retido na contratação de serviços","percent","","3","","","tax_group_cofins_wh"
"tax_cofins_wh_7_6","COFINS RET 7,6%","Cofins retido na contratação de serviços","percent","","7.6","","","tax_group_cofins_wh"
"tax_csll_1","CSLL 1%","","percent","","1","","","tax_group_csll"
"tax_csll_2_88","CSLL 2,88%","","percent","","2.88","","","tax_group_csll"
"tax_csll_nt","CSLL NT","","percent","","0","","","tax_group_csll"
"tax_csll_wh_1","CSLL RET 1%","","percent","","1","","","tax_group_csll_wh"
"tax_csll_wh_2_88","CSLL RET 2,88%","","percent","","2.88","","","tax_group_csll_wh"
"tax_icms_6","ICMS 6%","","percent","2024-04-28","6","cst_icms_00","cst_icms_00","tax_group_icms"
"tax_icms_7","ICMS 7%","","percent","2024-04-28","7","cst_icms_00","cst_icms_00","tax_group_icms"
"tax_icms_13_08","ICMS 13.08%","","percent","2024-04-28","13.08","cst_icms_00","cst_icms_00","tax_group_icms"
"tax_icms_12","ICMS 12%","","percent","2024-04-28","12","cst_icms_00","cst_icms_00","tax_group_icms"
"tax_icms_15","ICMS 15%","","percent","2024-04-28","15","cst_icms_00","cst_icms_00","tax_group_icms"
"tax_icms_18","ICMS 18%","","percent","2024-04-28","18","cst_icms_00","cst_icms_00","tax_group_icms"
"tax_icms_23","ICMS 23%","","percent","2024-04-28","23","cst_icms_00","cst_icms_00","tax_group_icms"
"tax_icms_25","ICMS 25%","","percent","2024-04-28","25","cst_icms_00","cst_icms_00","tax_group_icms"
"tax_icms_31","ICMS 31%","","percent","2024-04-28","31","cst_icms_00","cst_icms_00","tax_group_icms"
"tax_icms_4","ICMS 4%","","percent","2024-04-28","4","cst_icms_00","cst_icms_00","tax_group_icms"
"tax_icms_6_red","ICMS 6% com redução da base de cálculo","A redução deve constar no anexo II do regulamento do ICMC de Minas Gerais","percent_red","","6","cst_icms_20","cst_icms_20","tax_group_icms"
"tax_icms_7_red","ICMS 7% com redução da base de cálculo","A redução deve constar no anexo II do regulamento do ICMC de Minas Gerais","percent_red","","7","cst_icms_20","cst_icms_20","tax_group_icms"
"tax_icms_13_08_red","ICMS 13,08% com redução da base de cálculo","A redução deve constar no anexo II do regulamento do ICMC de Minas Gerais","percent_red","","13.08","cst_icms_20","cst_icms_20","tax_group_icms"
"tax_icms_12_red","ICMS 12% com redução da base de cálculo","A redução deve constar no anexo II do regulamento do ICMC de Minas Gerais","percent_red","","12","cst_icms_20","cst_icms_20","tax_group_icms"
